name	unit	price
Amapola	1kg	$ 25.000
Amaranto	1kg	$ 10.000
Azucar Negra	1kg	$ 3.500
Azucar Rubia	1kg	$ 3.500
Azucar Mascabo Organica	1kg	$ 4.000
Café Verde en Grano	1kg	$ 25.000
Chia	1kg	$ 13.000
Fecula de papa	1kg	$ 20.000
Lecitina de Soja	1kg	$ 45.000
Polen	1kg	$ 45.000
Quinoa	1kg	$ 15.000
Sesamo Integral	1kg	$ 8.000
Sesamo Blanco	1kg	$ 15.000
Sesamo Negro	1kg	$ 15.000
Spirulina	1kg	$ 61.000
Maca Peruana	1kg	$ 12.000
Maca Negra	1kg	$ 0
Mijo	1kg	$ 2.500
Lino	1kg	$ 8.000
Mix de Semillas	1kg	$ 10.000
Levadura Nutricional	1kg	$ 50.000
Ñaco	1kg	$ 4.800
Semillas de Zapallo	1kg	$ 20.000
Cascarilla	1kg	$ 18.000
Girasol con Cascara	1kg	$ 6.500
Nuez Moscada Grano	unidad	$ 700
Oregano	1kg	$ 15.000
Perejil	1kg	$ 18.000
Pimenton Ahumado	1kg	$ 20.000
Pimenton Dulce	1kg	$ 15.000
Pimenton Picante	1kg	$ 23.000
Pimienta Blanca Grano	1kg	$ 55.000
Pimienta Blanca Molida	1kg	$ 55.000
Pimienta Cayena	1kg	$ 26.000
Pimienta Jmaica	1kg	$ 66.000
Pimienta Negra Grano	1kg	$ 35.000
Pimineta Negra Molida	1kg	$ 35.000
Piminta Rosa	1kg	$ 66.000
Pimienta Verde	1kg	$ 66.000
Provenzal	1kg	$ 15.000
Romero	1kg	$ 19.000
Salvia	1kg	$ 19.000
Tomates Secos	1kg	$ 20.000
Tomillo	1kg	$ 18.000
Verduras Deshidratadas	1kg	$ 25.000
Wasabi	1kg	$ 28.000
Achiote Grano	1kg	$ 20.000
Azafran Capsula	unidad	$ 2.500
Linea Foodie	unidad	$ 6.000
Pure de Papa	1kg	$ 15.000
Guiso Instantaneo Lentejas	unidad	$ 4.000
Alcohol 90%	1lt	$ 6.000
Alcohol en Gel	1lt	$ 6.000
Jabon Lavarropas	1lt	$ 3.000
Camellito	1lt	$ 4.000
Cera	1lt	$ 4.000
Cif	1lt	$ 4.500
Desodorante Concentrado	1lt	$ 60.000
Insecticida Puro	1lt	$ 65.000
Jabon Manos	1lt	$ 4.000
Lavandina Gel	1lt	$ 3.800
Limpia Vidrios	1lt	$ 4.000
Multiuso	1lt	$ 5.000
Secuestrante Polvo	1lt	$ 18.000
Shampoo Auto	1lt	$ 5.000
Silicona	1lt	$ 16.000
Desodorante	1lt	$ 800
Liquido Lampazo	1lt	$ 9.000
Liquido Lampazo Cera	1lt	$ 9.500
Suavizante	1lt	$ 2.500
Detergente	1lt	$ 3.000
Desodorante Germicida	1lt	$ 1.000
Desengrasante Concentrado	1lt	$ 18.000
Perfumina	1lt	$ 30.000
Cloro	1lt	$ 2.000
Lysoform	unidad	$ 5.200
Blem	unidad	$ 7.000
Poett	unidad	$ 4.200
Raid	unidad	$ 7.800
Cif Embasado	unidad	$ 5.500
Guantes S	unidad	$ 3.300
Guantes M	unidad	$ 3.300
Guantes L	unidad	$ 3.300
Virulana	unidad	$ 1.300
Esponja	unidad	$ 1.400
Esponja Acero	unidad	$ 1.100
Estropajo	unidad	$ 1.200
Papel Higienico x4	unidad	$ 2.000
Papel Higienico x6	unidad	$ 3.200
Rollo Cocina x3	unidad	$ 2.000
Repasador	unidad	$ 1.300
Algodón	unidad	$ 1.400
Baldes	unidad	$ 3.000
Cabos	unidad	$ 1.600
Escoba Paja	unidad	$ 0
Escobillon	unidad	$ 5.500
Franela	unidad	$ 2.700
Mopas	unidad	$ 6.500
Lampazo S	unidad	$ 7.000
Lampazo M	unidad	$ 9.000
Lampazo L	unidad	$ 10.500
